id,cuisine
24888,italian
43564,moroccan
21898,italian
6991,moroccan
37700,spanish
43546,southern_us
20544,chinese
14160,italian
21405,irish
13357,jamaican
47851,indian
21850,italian
40949,moroccan
38502,indian
15500,cajun_creole
35594,cajun_creole
2834,southern_us
31955,indian
27382,mexican
16928,italian
14886,moroccan
3058,southern_us
47985,southern_us
10538,thai
12693,italian
28744,italian
8172,mexican
10655,southern_us
29405,japanese
32680,italian
49410,southern_us
47892,mexican
27929,mexican
31747,cajun_creole
33092,greek
29290,italian
24383,indian
30892,southern_us
19163,mexican
38798,british
3715,southern_us
26508,indian
7093,moroccan
24513,italian
35688,mexican
7944,mexican
14413,jamaican
34028,french
22765,mexican
11897,french
13507,indian
21026,indian
41454,mexican
17418,jamaican
13624,brazilian
30487,italian
10025,korean
43506,mexican
25423,japanese
4908,southern_us
35510,southern_us
17491,vietnamese
1490,mexican
12471,italian
34199,korean
18740,brazilian
34720,mexican
32335,spanish
29451,cajun_creole
28225,mexican
25123,indian
45178,italian
5112,mexican
10750,mexican
28360,southern_us
19837,mexican
2027,southern_us
19519,mexican
40279,italian
44880,french
41508,thai
30522,greek
8577,korean
38693,cajun_creole
48712,italian
2653,mexican
3076,thai
19515,mexican
32452,indian
8884,french
12240,italian
43398,chinese
32005,vietnamese
35096,french
20216,jamaican
12957,thai
29320,greek
20733,thai
30900,french
5316,mexican
27953,italian
19744,brazilian
29655,korean
43850,thai
48218,indian
12918,italian
29313,french
38645,italian
11904,italian
44490,italian
30178,japanese
23283,italian
16702,italian
11420,chinese
37779,italian
9803,indian
10186,korean
10831,mexican
14387,indian
27441,cajun_creole
18794,chinese
27979,french
14255,japanese
31883,italian
40645,italian
368,southern_us
7111,indian
33906,italian
967,mexican
12553,cajun_creole
41886,southern_us
20130,filipino
43824,mexican
22350,italian
10806,french
10064,chinese
48618,thai
10081,british
39045,chinese
48780,korean
48200,italian
48173,southern_us
2695,japanese
19832,thai
8762,italian
32385,indian
8490,indian
41328,chinese
35056,southern_us
38261,brazilian
32809,japanese
12232,southern_us
8601,chinese
28398,mexican
4118,southern_us
14206,filipino
28792,vietnamese
29968,japanese
33271,greek
29167,cajun_creole
4775,southern_us
49040,korean
14421,indian
41888,korean
16383,italian
7547,italian
40629,southern_us
36269,mexican
16263,chinese
16447,japanese
11837,thai
8073,japanese
42805,indian
27859,mexican
45446,british
39759,italian
4750,italian
40488,french
46073,indian
11057,indian
5459,thai
30620,italian
32158,southern_us
30059,vietnamese
6271,chinese
40362,mexican
6568,irish
47376,italian
45686,moroccan
12809,italian
18463,french
474,vietnamese
17243,italian
8391,italian
45300,italian
20584,indian
22041,cajun_creole
3678,thai
1790,chinese
12338,italian
13568,vietnamese
46036,mexican
44702,chinese
40789,mexican
8785,cajun_creole
25781,italian
13181,indian
5202,italian
42921,italian
39971,italian
36689,mexican
34292,italian
45626,italian
2650,southern_us
30411,italian
49061,russian
34083,italian
424,mexican
13406,italian
35059,indian
46649,mexican
35075,chinese
41801,southern_us
46708,mexican
29567,mexican
7293,chinese
26021,chinese
39873,italian
9288,french
29287,thai
24423,mexican
32694,southern_us
36481,french
36090,french
14604,french
8183,korean
11247,italian
16136,mexican
15463,italian
46295,chinese
27698,southern_us
9279,japanese
33488,french
22526,italian
1769,italian
44550,indian
47796,italian
